ID;dataset;architecture;seed;steps;
0;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);85370663;9000;
1;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);597236641;9000;
2;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);455413943;9000;
3;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);666364192;9000;
4;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);738646438;9000;
5;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);671251256;9000;
6;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);1598219;9000;
7;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);8943198;9000;
8;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);9434891;9000;
9;FashionMNIST;BatchNorm2d(1)-Conv2d(1, 64, 4, 1, 1)-ReLU-MaxPool2d(2, 2)-Dropout(0.1)-Conv2d(64, 64, 4, 1, 0)-ReLU-MaxPool2d(2, 2)-Dropout(0.3)-Flatten-Linear(1600, 256)-ReLU-Dropout(0.5)-Linear(256, 64)-ReLU-BatchNorm1d(64)-Linear(64, 10)-LogSoftmax(1);891327981;9000;
